unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_966,Turkey (Marmara Sea),EEZ,2019,135279.24224138368,135279.24224138368,0.0,1.0,89,89,93378447.55892137,93378447.55892137,93378447.55892137,63553118.69855156,80264120.35753952,0.0014054092405997199,91,0.9514373099267465
EEZ_974,"Korea (North, Sea of Japan)",EEZ,2019,177084.68732310578,177084.68732310578,0.0,1.0,53,53,88730291.34530385,88730291.34530385,88730291.34530388,63446825.60801261,83510305.69856766,0.0013354513234877755,92,0.9527727612502342
EEZ_450,Madagascar,EEZ,2019,159996.68620932242,159996.68620932242,0.0,1.0,96,96,87751516.13578317,87751516.13578317,87751516.13578315,56239923.29380205,73763184.84527262,0.001320720089890619,93,0.9540934813401248
EEZ_928,Colombia (Pacific),EEZ,2019,54847.9752029435,54847.9752029435,0.0,1.0,87,87,82458630.09635389,82458630.09635389,82458630.09635389,71105374.39050384,75675592.11803311,0.0012410585497417384,94,0.9553345398898666
EEZ_930,Costa Rica (Pacific),EEZ,2019,53716.993195901494,53716.993195901494,0.0,1.0,63,63,80279567.24893846,80279567.24893844,80279567.24893846,74719678.55634749,75119400.23806289,0.0012082621696169482,95,0.9565428020594835
EEZ_242,Fiji,EEZ,2019,57561.8277487637,57561.8277487637,0.0,1.0,57,57,79413036.45710625,79413036.45710625,79413036.45710625,68827217.75327721,74891764.60643005,0.0011952202909614187,96,0.9577380223504449
EEZ_204,Benin,EEZ,2019,83987.6435485869,83987.6435485869,0.0,1.0,96,96,78537967.78151909,78537967.78151909,78537967.78151909,52952929.63848208,68960954.54882826,0.0011820499113397876,97,0.9589200722617848
EEZ_784,United Arab Emirates,EEZ,2019,49925.3333488044,49925.3333488044,0.0,1.0,42,42,78213745.6926087,78213745.69260868,78213745.6926087,51264275.88172145,70734405.98405288,0.001177170148057434,98,0.9600972424098422
EEZ_788,Tunisia,EEZ,2019,133288.5662711512,133288.5662711512,0.0,1.0,167,167,74633904.02001323,74633904.02001323,74633904.02001323,52178784.33944455,57465097.24281223,0.0011232910924715612,99,0.9612205335023137
EEZ_357,Andaman & Nicobar Isl. (India),EEZ,2019,61303.310995657,61303.310995657,0.0,1.0,90,90,69444286.60999125,69444286.60999125,69444286.60999125,53936063.19903991,62035701.98379009,0.0010451838155368072,100,0.9622657173178506
EEZ_132,Cape Verde,EEZ,2019,41113.6989825735,41113.6989825735,0.0,1.0,91,91,68290801.75380284,68290801.75380284,68290801.75380284,65453403.432502314,65735516.97741273,0.0010278230827536227,101,0.9632935404006042
