taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Mytilidae,2nd level benthos,1.000000,single,medium,2356.585,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Penaeus chinensis,Crabs and shrimps,1.000000,single,high,2182.088,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Congridae,Unresolved,,,unresolved,2037.747,,,,,,,,,,,,,,,,,,,,
Serranidae,Unresolved,,,unresolved,2017.182,,,,,,,,,,,,,,,,,,,,
Synodontidae,Unresolved,,,unresolved,1936.137,,,,,,,,,,,,,,,,,,,,
Perciformes,Unresolved,,,unresolved,1596.923,,,,,,,,,,,,,,,,,,,,
Ommastrephes bartramii,Squids,1.000000,single,high,1468.252,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,170.688724,257.667318
Sclerocrangon,Crabs and shrimps,1.000000,single,high,1370.09,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Mugilidae,Unresolved,,,unresolved,1185.585,,,,,,,,,,,,,,,,,,,,
Hexagrammos otakii,Other bottom fishes,1.000000,single,medium,1141.535,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Hexagrammidae,Other bottom fishes,1.000000,single,medium,964.047,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Marine pelagic fishes not identified,Unresolved,,,unresolved,743.317,,,,,,,,,,,,,,,,,,,,
Beryx,Unresolved,,,unresolved,565.899,,,,,,,,,,,,,,,,,,,,
Apostichopus japonicus,2nd level benthos,1.000000,single,medium,531.083,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Crassostrea,2nd level benthos,1.000000,single,medium,517.999,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Stromateidae,Unresolved,,,unresolved,488.429,,,,,,,,,,,,,,,,,,,,
Bramidae,Unresolved,,,unresolved,463.476,,,,,,,,,,,,,,,,,,,,
Cephea,Jellyfish,1.000000,single,high,383.615,0.000000,192.167837,44.696122,82.346732,2095.248026,2102.656168,52.566404,13084.005263,13084.005263,13306.933792,79.878041,25.489001,13306.933792,13084.005263,79.878041,79.878041,25.489001,25.489001,115.418293,15241.148516
Scorpaenidae,Other bottom fishes,1.000000,single,medium,282.206,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Scyphozoa,Jellyfish,1.000000,single,high,254.077,0.000000,192.167837,44.696122,82.346732,2095.248026,2102.656168,52.566404,13084.005263,13084.005263,13306.933792,79.878041,25.489001,13306.933792,13084.005263,79.878041,79.878041,25.489001,25.489001,115.418293,15241.148516
